香港频道,#genre#  
Foodnetwork Hd,id=Foodnetwork  
HGTV,id=HGTV  
AFC 亚洲旅游台,id=asiatravel_twn  

新闻频道,#genre#  
Skynews,id=skynews_twn  
ABC News,id=abcnews_glo  
东森财经新闻 ETTV Business,id=ettvcaijing_twn  
CBS HD,id=cbshd_glo  
CBSN HD,id=cbsn_glo  
France 24,id=france24_twn  
DW (Deutsch),id=dw_twn  
NHK World,id=nhkworld_japan  
Fox News,id=foxnews_twn  
CGTN,id=CGTN  
CNN International,id=Cnn  
CNN backup,id=cnn_twn  
CNBC,id=cnbc_twn  
CNA,id=cna  
BBC World News,id=bbcnews_twn  
BBC World News,id=Bbcnews  
Bloomberg News,id=bloomberg_twn  
Al-Jazeera,id=aljazeera_twn  

儿童频道,#genre#  
Baby TV Eng,id=Babytv  
CBeebies,id=Cbeebies  
Kids TV,id=KidsTV  
Momo TV,id=momo1_twn  
Animax,id=Animax  
MiaoMi,id=MiaoMi  
靖天卡通台,id=jingtiancartoon_twn  
东森幼幼 Yoyo TV,id=yoyo_twn  
Cartoon Network,id=Cn  
Nickelodeon,id=Nickelodeon  
Nick Jr,id=Nickjr  

新加坡频道,#genre#  
Channel 5,id=Channel5HD  
Channel 8,id=Channel8HD  
Suria,id=Suria  
Channel U,id=ChannelU  
Vasantham,id=Vasantham  
CNA backup,id=cna_twn  
MeWatch Ch 5,id=Mewatch_ch5  
MeWatch Ch 8,id=Mewatch_ch8  
MeWatch Ch U,id=Mewatch_chU  
MeWatch Suria,id=Mewatch_Suria  
MeWatch Vasantham,id=Mewatch_Vasantham  
MeWatch CNA,id=Mewatch_cna  

马来西亚频道,#genre#  
TV1,id=TV1  
TV1 backup,id=TV1_backup  
TV2,id=TV2  
TV3,id=TV3  
TV3 SD,id=TV3_mega  
NTV7,id=NTV7  
TV8,id=TV8  
TV9,id=TV9  
Ria,id=Ria-0  
Ria-3,id=Ria_backup  
Al-Hijrah,id=Alhijrah  
Al-Hijrah backup,id=Alhijrah_backup  
Awani,id=Awani  
Bernama,id=Bernama  
Prima,id=Prima-0  
Prima backup,id=AAprima1  
Prima backup 2,id=AAprima  
Ceria,id=Ceria  
Astro MTV,id=AstroMTV  
Mecca Live HD,id=quran_mido  
Madinah HD,id=sunnah_mido  
Oasis,id=Oasis  
Siar,id=Siar  
Citra,id=AAcitra  
Citra backup,id=AAcitra1  
Sensasi,id=Sensasi  
Aura,id=Aura  
Rania,id=Rania  
KBS World,id=KBS  
Boo,id=Boo  
Awesome TV,id=Dsangat  
Astro Sonypix,id=Asonypix  
Sony HD,id=SetOne  
TvN,id=TVN  
AEC,id=AEC  
华丽台 HD （Wah Lai Toi）,id=Wlt  
欢喜台 HD （Hua Hee Tai）,id=Huahee  
Astro QJ,id=Quanjia  
TVB Jade,id=Tvbjade  
TVB Asia,id=Tvbasia  
TVB Entertainment,id=Tvbentertainment  
TVB Classic,id=Tvbclassic  
AOD,id=Aodhd  
One,id=One  
TVB 星河台 Xing He,id=Xinhe  
爱奇艺 iQiyi,id=Qiyi  
Animal Planet (Eng),id=AnimalPlanet  
tvN Movie,id=Tvnmovie  
CNN backup,id=cnn_twn  
Celestial Classic,id=Celestial2  
CNBC,id=cnbc_twn  
TLC,id=Tlc  
CNA,id=cna  
BBC World News,id=bbcnews_twn  
Foodnetwork Hd,id=Foodnetwork  
HGTV,id=HGTV  
Goshop,id=Goshop  
Celestial Movies HD,id=Celestial  
Axn HD,id=Axn  
Paramount Network,id=Paramountnetwork  
Astrol Kplus,id=Kplus  
AFC 亚洲旅游台,id=asiatravel_twn  
Rock Actions,id=Rockaction  
Bloomberg News,id=bloomberg_twn  
Al-Jazeera,id=aljazeera_twn  
Rock Entertainment,id=Rockentertain  
RTM Sports HD,id=Rtmsport  
Arena,id=Arena  
Arena 2,id=Arena2  
BolaArena 1,id=Bolaarena1  
BolaArena 2,id=Bolaarena2  
Astro LOL,id=Astro_lol  
Astro Rusi,id=Rusi  
WION,id=Wion  
RTM Asean,id=Rtmasean  
HBO HD,id=Hbo  
HBO Signature,id=Hbosignature  
HBO Hits,id=Hbohitshd  
NatGeo Wild HD,id=Natgeowild  
Cartoon Network,id=Cn  
Nickelodeon,id=Nickelodeon  
Nick Jr,id=Nickjr  
Dreamworks,id=Dreamworks  

印尼频道,#genre#  
TVRI National,id=TVRI  
RCTI,id=Rcti  
Kompass TV,id=Kompass  
Berita Satu,id=BeritaSatu_eko  
Indosiar HD,id=Indosiar  
AnTV,id=Antv  
MNC TV,id=Mnctv  
Trans 7,id=Trans7_eko  
Transtv,id=Transtv  
JTV,id=JTV_eko  
Metro TV,id=metrotv_eko  
Cinemax,id=Cinemax  
SCTV,id=SCTV  
Tvone,id=Tvone  
TVMU,id=TVMU_eko  
GTV,id=Gtv  
RTV,id=Rtv  
Jak TV,id=JakTV  
iNews TV,id=Inewstv  
Daai TV,id=DaaiTV  
Net TV,id=NetTV  
EWTN,id=Ewtn  
Tawaf TV,id=TawafTV  
Vision Prime,id=VisionPrime  
Muslim TV,id=MuslimTV  
Music TV,id=MusicTV  
Lifestyle&Fashion,id=Lifestyle  
Hits,id=Hits  
Warner TV,id=WarnerTV  
SCM,id=Weishimovie  
Thrill,id=Thrill  
Fight Sports,id=Fs  
Hits Movie,id=Hitsmovie  
One,id=One  
tvN Movie,id=Tvnmovie  
Celestial Movies HD,id=Celestialindo  
Rock Actions,id=Rockaction  
Rock Entertainment,id=Rockentertain  

印度频道,#genre#  
Sun TV HD,id=Suntv  
Star Vijay,id=Starvijay  
Colors Tamil,id=Colorstam  
Sun Music,id=Sunmusic  
Astro Sunlife,id=Sunlife  
Astro Vaanavil,id=Vaanavil  
Zee Tamil,id=Zeetamil  
Zee Business,id=Zeebusiness  
News 18 Tamil,id=news18tamil_raj  
Adithya,id=Adithya  
Makkal TV,id=Makkaltv  
Zee Action,id=Zeeaction  
Astro KTV,id=Astroktv  
Zee TV HD,id=Zeetvhd  
Zee Cinema HD,id=Zeecinemahd  
Color HD,id=Colorhd  
Starplus HD,id=Starplushd  
Picture HD,id=Npicture  
Zee News,id=Zeenews  
Asianet,id=asianet_raj  
Asianet News,id=asianetnews_raj  
Discovery World Tamil,id=discoveryworldtam_raj  
History Tamil,id=historytam_raj  
NatGeo Tamil,id=natgeotamil_raj  
Natgeo Wild Tamil,id=natgeowildtamil_raj  
Discovery Kids Tamil,id=discoverykidtamil_raj  
Sony Yay Tamil,id=sonyyaytam_raj  
Sun TV India,id=suntv_raj  
Starmaa HD,id=starmaa_raj  
Starmaa Movies HD,id=starmaamovies_raj  
Bollyone,id=Bollyone  
Vijay Super,id=vijaysuper_raj  
Vellithirai,id=Vellithirai  
Astro Sonypix,id=Asonypix  
Astro Sunmusic,id=Sunmusic  

泰国频道,#genre#  
Channel 3 Thailand,id=ch3_pat  
Channel 5 Thailand,id=ch5_pat  
Channel 7 Thailand,id=ch7_pat  
MCOT HD Thailand-1,id=mcot_pat  
PPTV Thailand1,id=pptv_pat  
Thai Thai,id=thaithai_pat  
Amarin,id=amarin_pat  
Ch 8,id=ch8_pat  
GmmOne,id=gmmone_pat  
Mono,id=mono_pat  
Thairath,id=thairath_pat  
tpbs,id=tpbs_pat  
Workpoint,id=workpoint_pat  
Gmm Channel,id=gmmchannel_pat  
Nation,id=nation_pat  
Tnn24,id=tnn24_pat  
Nbt,id=nbt_pat  
New,id=new_pat  
TPTV,id=tptv_pat  

英国频道,#genre#  
BBC 1,id=bbc1_antik  
BBC 2,id=bbc2_antik  
CBBC,id=cbbc_antik  
More4,id=more4_antik  
Freesports,id=freesports_antik  
Skynews,id=skynews_twn  
Pick TV,id=picktv_antik  
itv 1,id=itv1_antik  
itv 2,id=itv2_antik  
Euronews,id=euronews_antik  
Channel 4,id=channel4_antik  
NatGeo HD,id=Natgeo  
CBeebies,id=Cbeebies  
History,id=History  
Kids TV,id=KidsTV  
France 24,id=france24_twn  
DW (Deutsch),id=dw_twn  
BBC Earth HD,id=bbcearth_twn  
BBC Earth Lifestyle,id=bbclifestyle_twn  
MTV Live,id=mtvhd_twn  
Star Movies HD,id=starmovies_raj  
NHK World,id=nhkworld_japan  
Warner TV,id=WarnerTV  
HBO HD,id=Hbo  
NatGeo Wild HD,id=Natgeowild  
Nickelodeon,id=Nickelodeon  
Nick Jr,id=Nickjr  
Thrill,id=Thrill  
CGNTV,id=CGTN  
Hits Movie,id=Hitsmovie  
Animal Planet (Eng),id=AnimalPlanet  
CNBC,id=cnbc_twn  
TLC,id=Tlc  
BBC World News,id=bbcworldnews_antik  
HGTV,id=HGTV  
Axn HD,id=Axn  
Skysports F1,id=tiankongf1  
Skysports Cricket,id=tiankongcricket  
Bloomberg News,id=bloomberg_twn  
Skysports EPL,id=tiankongepl  
Skysports Main Event,id=tiankongmain  
Skysports News,id=tiankongnews  
Al-Jazeera,id=aljazeera_twn  
